incident,user,loc_lat,loc_long,species,action,severity,status,timestamp
1,2384695414,40.06364779902347,-75.1715714762505,parrot,wildlife sightings,P2,actionable,Oct 03 2019 12:41:56
2,1271721029,47.77945228279052,-74.21165109790056,parrot,poaching,P2,actionable,Oct 17 2019 04:33:13
3,4095034522,37.63320660470846,-80.66196444441158,gorilla,animal mortality,P1,verified,Oct 04 2019 09:49:34
4,1186027505,33.10651012409048,-70.4839516033565,parrot,animal mortality,P3,submitted,Oct 22 2019 17:49:38
5,3037583143,47.48412219966305,-80.50047686985266,pangolin,poaching,P3,actionable,Oct 27 2019 05:04:49
6,1994501793,36.50058893844676,-116.18748044049379,tiger,other,P2,submitted,Oct 21 2019 12:32:10
7,2683396663,46.76517633975118,-73.2381632110672,pangolin,poaching,P3,actionable,Oct 22 2019 13:10:57
8,2679806021,41.32970751193379,-97.84288061623216,other,other,P3,verified,Oct 27 2019 02:10:51
9,2212509902,42.34045187678054,-80.84169044564132,parrot,poaching,P2,actionable,Oct 27 2019 18:26:02
10,0015337960,39.99559374355745,-105.64114933235291,tiger,wildlife sightings,P2,verified,Oct 22 2019 00:28:53
11,3232385483,28.734737913653635,-109.60650050970862,tiger,poaching,P2,submitted,Oct 27 2019 16:18:52
12,2737192073,48.087657258667804,-107.10645398102234,tiger,wildlife sightings,P1,actionable,Oct 21 2019 23:56:36
13,4464335701,24.81860147033689,-74.00708397085164,parrot,other,P3,submitted,Oct 01 2019 01:49:33
14,0002624850,38.89302624881117,-78.96364247673185,other,human wildlife conflict,P2,verified,Nov 01 2019 18:28:30
15,0589648381,29.433908784774204,-89.8703451078465,parrot,poaching,P3,actionable,Oct 27 2019 03:42:59
16,1417420949,36.662091393376784,-93.07518131027433,pangolin,animal mortality,P3,actionable,Oct 15 2019 08:52:57
17,2086304255,37.20197719729212,-73.8305137829855,other,other,P2,submitted,Oct 07 2019 23:17:19
18,4463106731,26.978773878520343,-122.15112577576664,parrot,poaching,P1,submitted,Oct 27 2019 12:15:27
19,4055236050,27.07170838192375,-82.87818524161412,parrot,animal mortality,P0,actionable,Oct 22 2019 12:40:40
20,0404424229,31.729179928435645,-122.30873593625499,other,human wildlife conflict,P0,submitted,Oct 23 2019 07:09:11
21,2543964949,45.47064362031158,-94.01404007579458,parrot,wildlife sightings,P3,actionable,Oct 10 2019 14:24:23
22,2194433981,30.326898728705512,-79.12477625514947,rhino,wildlife sightings,P3,submitted,Oct 20 2019 17:34:32
23,1769262086,37.06821021869854,-105.33423611098547,other,other,P2,verified,Oct 28 2019 04:53:49
24,2671013850,32.49142250580613,-68.43671875965926,sea turtle,wildlife sightings,P1,verified,Oct 12 2019 06:28:00
25,5034777698,30.090091044625233,-87.0322688845064,gorilla,wildlife sightings,P1,verified,Oct 21 2019 04:59:21
26,4621842745,37.550019176488455,-116.93831877174087,sea turtle,poaching,P2,submitted,Oct 19 2019 10:55:12
27,2267477958,31.889921573263635,-121.9817011020649,gorilla,poaching,P0,actionable,Oct 04 2019 23:56:11
28,3074908848,29.26944839455365,-104.03505297235155,parrot,poaching,P1,verified,Oct 16 2019 22:49:11
29,3094395465,25.33364611380647,-116.21527200469434,sea turtle,wildlife sightings,P1,verified,Oct 25 2019 02:48:19
30,1191606879,37.46504066367202,-100.77523982722873,sea turtle,animal mortality,P1,verified,Oct 14 2019 08:50:20
31,4535813107,29.957663817281613,-118.79608085612539,parrot,human wildlife conflict,P2,verified,Oct 24 2019 04:40:08
32,0492166378,31.24465233265196,-112.90216193193817,sea turtle,animal mortality,P3,actionable,Oct 13 2019 01:01:37
33,0186507080,43.41406646551488,-112.23850309590706,rhino,human wildlife conflict,P2,actionable,Oct 22 2019 15:34:15
34,3821803188,28.846488048108746,-117.54738506295786,elephant,animal mortality,P3,verified,Oct 29 2019 06:29:12
35,2423426263,38.76941520615067,-101.54644917675232,gorilla,animal mortality,P2,verified,Oct 24 2019 18:08:33
36,3082454824,40.631713212847075,-95.83513561287522,rhino,wildlife sightings,P2,actionable,Oct 15 2019 00:32:56
37,2185185491,35.978562516301444,-114.836725051483,rhino,wildlife sightings,P3,verified,Oct 31 2019 09:17:48
38,4055236050,47.83884125433097,-78.23206456830349,parrot,human wildlife conflict,P3,submitted,Oct 19 2019 20:03:36
39,0704522174,42.81010455518626,-106.75058818638368,parrot,wildlife sightings,P3,submitted,Oct 22 2019 00:12:32
40,4965099391,39.155699847475894,-107.80662722865841,tiger,animal mortality,P1,actionable,Oct 30 2019 19:30:13
